institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_b,lime,kernelshap_prob,cross,0.435229309178643,0.3987153080753506,0.46885269021380815,,6829
KU Leuven,tau_strict,shap,shap,self,0.6095528013336232,0.5561639289862288,0.65515289925494,0.605,1314
KU Leuven,tau_strict,occlusion,occlusion,self,0.6827426252083787,0.6458026142394131,0.7231832465772313,0.6479147640791476,1314
KU Leuven,tau_strict,lime,lime,self,0.3738493875480177,0.2668630338733432,0.48593430771648594,0.4556849315068493,1314
KU Leuven,tau_strict,kernelshap_prob,kernelshap_prob,self,0.6064651735884614,0.5530371196025149,0.6548285293498842,0.6054033485540334,1314
KU Leuven,tau_strict,shap,occlusion,cross,0.5867507429151266,0.5368601413578925,0.6558910135535485,0.629558599695586,1314
KU Leuven,tau_strict,shap,lime,cross,0.4416467347974198,0.3551083265642945,0.5181030766215952,0.5060882800608828,1314
KU Leuven,tau_strict,shap,kernelshap_prob,cross,0.9070667536420963,0.8894445056357161,0.9281653054848931,0.8920395738203958,1314
KU Leuven,tau_strict,occlusion,lime,cross,0.298572153366674,0.20990476190476193,0.36332353517538707,0.46715372907153724,1314
KU Leuven,tau_strict,occlusion,kernelshap_prob,cross,0.5868522142494745,0.5392589419575927,0.6517645362459897,0.6300456621004566,1314
KU Leuven,tau_strict,lime,kernelshap_prob,cross,0.4418061897513952,0.3560084266974455,0.5156417793454829,0.5080365296803653,1314
KU Leuven,tau_b,shap,shap,self,0.6095528013336232,0.5561639289862288,0.65515289925494,,1314
KU Leuven,tau_b,occlusion,occlusion,self,0.6301103364941606,0.6015231671018493,0.6606333912538436,,1314
KU Leuven,tau_b,lime,lime,self,0.37227730666086833,0.2652491206194053,0.4825255382681125,,1314
KU Leuven,tau_b,kernelshap_prob,kernelshap_prob,self,0.6064651735884614,0.5530371196025149,0.6548285293498842,,1314
KU Leuven,tau_b,shap,occlusion,cross,0.609047698572615,0.5821055085984727,0.6393816014429384,,1314
KU Leuven,tau_b,shap,lime,cross,0.44678329029648217,0.3581833587527538,0.5269287047462978,,1314
KU Leuven,tau_b,shap,kernelshap_prob,cross,0.9070667536420963,0.8894445056357161,0.9281653054848931,,1314
KU Leuven,tau_b,occlusion,lime,cross,0.3371216154675633,0.23609832734127514,0.4138924106829638,,1314
KU Leuven,tau_b,occlusion,kernelshap_prob,cross,0.6104654218225848,0.5870206285158804,0.6375647607739897,,1314
KU Leuven,tau_b,lime,kernelshap_prob,cross,0.44691947671412746,0.36066303730440563,0.5251311564784333,,1314
UKZN,tau_strict,shap,shap,self,0.4428433744418875,0.37419827817482165,0.500085589330597,0.5183767038413879,2421
UKZN,tau_strict,occlusion,occlusion,self,0.5811726755964675,0.5290227077112707,0.6263374812845983,0.5765303593556381,2421
UKZN,tau_strict,lime,lime,self,0.3183139592061525,0.1918627436864872,0.43674034794176153,0.4696530359355638,2421
UKZN,tau_strict,kernelshap_prob,kernelshap_prob,self,0.4304360653803033,0.37580545314900154,0.4862652124300533,0.508364312267658,2421
UKZN,tau_strict,shap,occlusion,cross,0.47751617788792505,0.4328042578956051,0.524371566281453,0.5545229244114003,2421
UKZN,tau_strict,shap,lime,cross,0.4221514132294802,0.31727252987644927,0.5208268368958958,0.5366460140437835,2421
UKZN,tau_strict,shap,kernelshap_prob,cross,0.7268582443303633,0.6551078161743289,0.7941325073477181,0.7460636100784801,2421
UKZN,tau_strict,occlusion,lime,cross,0.26496331700792675,0.1567076448082062,0.3629300381920142,0.4453779429987608,2421
UKZN,tau_strict,occlusion,kernelshap_prob,cross,0.446132058771464,0.403823188616978,0.48927341469362035,0.5308963238331268,2421
UKZN,tau_strict,lime,kernelshap_prob,cross,0.4229460474813635,0.32877920656344795,0.5181766663017905,0.5374638579099545,2421
UKZN,tau_b,shap,shap,self,0.4428433744418875,0.37419827817482165,0.500085589330597,,2421
UKZN,tau_b,occlusion,occlusion,self,0.5462393926843082,0.4947627530958465,0.5855795599261092,,2417
