target,target_institution,k,seed,auc,f1_at_0.5
oulad_FFF_2013J,OULAD,0,2,0.8311413218947465,0.6483126110124334
oulad_FFF_2013J,OULAD,25,2,0.8351177115948043,0.6991922455573506
oulad_FFF_2013J,OULAD,50,2,0.8118420058786567,0.7068565750248427
oulad_FFF_2013J,OULAD,100,2,0.8337916935548924,0.7190929041697147
oulad_FFF_2013J,OULAD,0,3,0.8312243438955766,0.6483126110124334
oulad_FFF_2013J,OULAD,25,3,0.8003732736095558,0.7065750736015701
oulad_FFF_2013J,OULAD,50,3,0.81182995286468,0.7068166776968895
oulad_FFF_2013J,OULAD,100,3,0.842001126542691,0.7048275862068966
oulad_FFF_2013J,OULAD,0,4,0.8311413218947465,0.6483126110124334
oulad_FFF_2013J,OULAD,25,4,0.8219648022385714,0.6889952153110048
oulad_FFF_2013J,OULAD,50,4,0.835058785134025,0.7051409618573797
oulad_FFF_2013J,OULAD,100,4,0.8496076721883172,0.7031994554118448
oulad_FFF_2014B,OULAD,0,0,0.8447244091641904,0.6072423398328691
oulad_FFF_2014B,OULAD,25,0,0.7149750643019499,0.6067203028868907
oulad_FFF_2014B,OULAD,50,0,0.8312127371273713,0.6727370112479915
oulad_FFF_2014B,OULAD,100,0,0.84198070139033,0.7492022973835354
oulad_FFF_2014B,OULAD,0,1,0.844702720483513,0.6072423398328691
oulad_FFF_2014B,OULAD,25,1,0.8541699366923037,0.6743576297850026
oulad_FFF_2014B,OULAD,50,1,0.8604886880628888,0.730814639905549
oulad_FFF_2014B,OULAD,100,1,0.8464311905449454,0.7407407407407407
oulad_FFF_2014B,OULAD,0,2,0.8446900687531177,0.6072423398328691
oulad_FFF_2014B,OULAD,25,2,0.8629679719562884,0.6729957805907173
oulad_FFF_2014B,OULAD,50,2,0.8611067051468541,0.6800216567406605
oulad_FFF_2014B,OULAD,100,2,0.8621494550770865,0.7521035598705501
oulad_FFF_2014B,OULAD,0,3,0.8447244091641904,0.6072423398328691
oulad_FFF_2014B,OULAD,25,3,0.8403268889511535,0.6701515943544172
oulad_FFF_2014B,OULAD,50,3,0.8324389410858907,0.7157534246575342
oulad_FFF_2014B,OULAD,100,3,0.8339300958964285,0.7589343729694606
oulad_FFF_2014B,OULAD,0,4,0.8446900687531177,0.6072423398328691
oulad_FFF_2014B,OULAD,25,4,0.8429424946782043,0.6684073107049608
oulad_FFF_2014B,OULAD,50,4,0.8330037653862806,0.6978869217589948
oulad_FFF_2014B,OULAD,100,4,0.8362211767824013,0.7527868852459016
oulad_FFF_2014J,OULAD,0,0,0.8386524975323095,0.6415852958070075
oulad_FFF_2014J,OULAD,25,0,0.8448294296159163,0.6461001164144354
oulad_FFF_2014J,OULAD,50,0,0.888720135062929,0.7140065146579805
oulad_FFF_2014J,OULAD,100,0,0.8931229235880399,0.8018539976825029
oulad_FFF_2014J,OULAD,0,1,0.8386524975323095,0.6415852958070075
oulad_FFF_2014J,OULAD,25,1,0.8436049148271965,0.6423995340710542
oulad_FFF_2014J,OULAD,50,1,0.846656939768051,0.7017656500802568
oulad_FFF_2014J,OULAD,100,1,0.8987969513386751,0.7342995169082126
oulad_FFF_2014J,OULAD,0,2,0.8386524975323095,0.6415852958070075
oulad_FFF_2014J,OULAD,25,2,0.8162291720240804,0.6424840394660476
oulad_FFF_2014J,OULAD,50,2,0.8459990239696293,0.6920152091254753
oulad_FFF_2014J,OULAD,100,2,0.8828225315810299,0.7292741658066736
oulad_FFF_2014J,OULAD,0,3,0.8385183527305282,0.6415852958070075
oulad_FFF_2014J,OULAD,25,3,0.8847585440839857,0.6419036564132328
oulad_FFF_2014J,OULAD,50,3,0.8853443371509844,0.6996784565916399
oulad_FFF_2014J,OULAD,100,3,0.898020431331586,0.7411805798113866
oulad_FFF_2014J,OULAD,0,4,0.8386524975323095,0.6415852958070075
oulad_FFF_2014J,OULAD,25,4,0.8709125539374325,0.641652123327516
oulad_FFF_2014J,OULAD,50,4,0.8848015974665834,0.6879544736010117
oulad_FFF_2014J,OULAD,100,4,0.8861883989717321,0.7176035005048805
ku_Accountancy_1819,KU Leuven,0,0,0.6198786356978447,0.8251748251748252
ku_Accountancy_1819,KU Leuven,25,0,0.6188596960616438,0.8238133547868061
ku_Accountancy_1819,KU Leuven,50,0,0.621853607161664,0.8243130724396336
ku_Accountancy_1819,KU Leuven,100,0,0.6222743916519139,0.821203953279425
ku_Accountancy_1819,KU Leuven,0,1,0.6198786356978447,0.8251748251748252
ku_Accountancy_1819,KU Leuven,25,1,0.6260553284128922,0.8209677419354838
ku_Accountancy_1819,KU Leuven,50,1,0.6263320219998473,0.8233333333333334
ku_Accountancy_1819,KU Leuven,100,1,0.6268869236331276,0.8254252461951657
ku_Accountancy_1819,KU Leuven,0,2,0.6198786356978447,0.8251748251748252
ku_Accountancy_1819,KU Leuven,25,2,0.6221952535059332,0.826645264847512
ku_Accountancy_1819,KU Leuven,50,2,0.6143978778813666,0.8282157676348548
ku_Accountancy_1819,KU Leuven,100,2,0.6178353330387593,0.8317008014247551
ku_Accountancy_1819,KU Leuven,0,3,0.6198786356978447,0.8251748251748252
ku_Accountancy_1819,KU Leuven,25,3,0.6203478028820494,0.822866344605475
ku_Accountancy_1819,KU Leuven,50,3,0.6157281756801798,0.8223519599666389
ku_Accountancy_1819,KU Leuven,100,3,0.6010629938936782,0.8092592592592592
ku_Accountancy_1819,KU Leuven,0,4,0.6198786356978447,0.8251748251748252
ku_Accountancy_1819,KU Leuven,25,4,0.6279429432121788,0.8257028112449799
ku_Accountancy_1819,KU Leuven,50,4,0.6316436251920123,0.8252911813643927
ku_Accountancy_1819,KU Leuven,100,4,0.63590048961228,0.822262118491921
ku_Globaleconom_1819,KU Leuven,0,0,0.6069451601030549,0.7155322862129145
ku_Globaleconom_1819,KU Leuven,25,0,0.6029304029304029,0.704031465093412
ku_Globaleconom_1819,KU Leuven,50,0,0.6027576319784111,0.6951219512195121
ku_Globaleconom_1819,KU Leuven,100,0,0.6031397572493463,0.6895027624309392
ku_Globaleconom_1819,KU Leuven,0,1,0.6069451601030549,0.7155322862129145
ku_Globaleconom_1819,KU Leuven,25,1,0.6080428192497157,0.6925434116445353
ku_Globaleconom_1819,KU Leuven,50,1,0.6081113124777696,0.6914893617021277
ku_Globaleconom_1819,KU Leuven,100,1,0.6015893597375297,0.6896551724137931
ku_Globaleconom_1819,KU Leuven,0,2,0.6069451601030549,0.7155322862129145
ku_Globaleconom_1819,KU Leuven,25,2,0.6113906949919812,0.7054263565891473
ku_Globaleconom_1819,KU Leuven,50,2,0.611414102064667,0.7112887112887113
ku_Globaleconom_1819,KU Leuven,100,2,0.6109978730946473,0.7002237136465325
ku_Globaleconom_1819,KU Leuven,0,3,0.6069451601030549,0.7155322862129145
ku_Globaleconom_1819,KU Leuven,25,3,0.6087484715812724,0.6998011928429424
ku_Globaleconom_1819,KU Leuven,50,3,0.6140012872410696,0.696652719665272
ku_Globaleconom_1819,KU Leuven,100,3,0.6040682802046439,0.6981981981981982
ku_Globaleconom_1819,KU Leuven,0,4,0.6069451601030549,0.7155322862129145
ku_Globaleconom_1819,KU Leuven,25,4,0.6060912387800216,0.7140287769784173
ku_Globaleconom_1819,KU Leuven,50,4,0.6124608614707624,0.7042801556420234
ku_Globaleconom_1819,KU Leuven,100,4,0.6155253837072019,0.7062780269058296
ukzn_ISTN101_2019,UKZN,0,0,0.6179914988033507,0.7854050711193569
ukzn_ISTN101_2019,UKZN,25,0,0.6225706192462035,0.8579610538373424
ukzn_ISTN101_2019,UKZN,50,0,0.6362645076431341,0.8724754760530872
ukzn_ISTN101_2019,UKZN,100,0,0.6308410858624371,0.8820697954271961
ukzn_ISTN101_2019,UKZN,0,1,0.6182532658556044,0.7871287128712872
ukzn_ISTN101_2019,UKZN,25,1,0.6142794104087359,0.8403755868544601
ukzn_ISTN101_2019,UKZN,50,1,0.6225823386383731,0.8822857142857143
ukzn_ISTN101_2019,UKZN,100,1,0.5973057925460261,0.8976286871023713
ukzn_ISTN101_2019,UKZN,0,2,0.617661173713602,0.7861557478368356
ukzn_ISTN101_2019,UKZN,25,2,0.6177708710362735,0.8331360946745562
ukzn_ISTN101_2019,UKZN,50,2,0.6112883351588171,0.8388654194327098
ukzn_ISTN101_2019,UKZN,100,2,0.6262510778516877,0.8742442563482467
ukzn_ISTN101_2019,UKZN,0,3,0.6193813571998404,0.7863777089783281
ukzn_ISTN101_2019,UKZN,25,3,0.610663619479168,0.8226097414311485
ukzn_ISTN101_2019,UKZN,50,3,0.6213147933244916,0.8407026044821321
ukzn_ISTN101_2019,UKZN,100,3,0.6432823813354787,0.8591108328115216
ukzn_ISTN101_2019,UKZN,0,4,0.6186334513362586,0.7863777089783281
ukzn_ISTN101_2019,UKZN,25,4,0.6425577751664708,0.8622478386167147
ukzn_ISTN101_2019,UKZN,50,4,0.6369090596527419,0.8647058823529412
ukzn_ISTN101_2019,UKZN,100,4,0.647835011240348,0.8812121212121212
ukzn_ISTN101_2020,UKZN,0,0,0.6880999978032117,0.6916666666666667
ukzn_ISTN101_2020,UKZN,25,0,0.5528828788152429,0.9225512528473804
ukzn_ISTN101_2020,UKZN,50,0,0.545306349168015,0.9023809523809524
ukzn_ISTN101_2020,UKZN,100,0,0.5508229779812513,0.8921319796954315
ukzn_ISTN101_2020,UKZN,0,1,0.688693130643,0.6916666666666667
ukzn_ISTN101_2020,UKZN,25,1,0.6690953038674032,0.9302325581395349
ukzn_ISTN101_2020,UKZN,50,1,0.5934895833333333,0.9506522972206466
ukzn_ISTN101_2020,UKZN,100,1,0.6395140435773358,0.9644970414201184
ukzn_ISTN101_2020,UKZN,0,2,0.6879242547395708,0.6916666666666667
ukzn_ISTN101_2020,UKZN,25,2,0.6814594114264806,0.8150510204081632
ukzn_ISTN101_2020,UKZN,50,2,0.6267907718536035,0.8992248062015504
ukzn_ISTN101_2020,UKZN,100,2,0.6277772684208918,0.9508393285371702
