target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_at_0.5
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1613,0.8674459186303216,0.7690305790500976
oulad_BBB_2014B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1613,0.8200201204119717,0.6213675213675214
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,2292,0.8665562560916181,0.7810283687943262
oulad_BBB_2014J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,2292,0.8032624421296297,0.6689895470383276
oulad_DDD_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1303,0.8402467670548673,0.7465135356849877
oulad_DDD_2013B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1303,0.7091375516158545,0.5618101545253863
oulad_DDD_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1938,0.8693837350072495,0.7774158523344191
oulad_DDD_2013J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1938,0.8323792286163978,0.5998552821997105
oulad_DDD_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1228,0.8652371568493552,0.7637362637362637
oulad_DDD_2014B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1228,0.8225413982735507,0.5612185120093731
oulad_DDD_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1803,0.8561186793753559,0.7679738562091504
oulad_DDD_2014J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1803,0.7904352626162716,0.6104046242774567
oulad_FFF_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1614,0.8408996594038952,0.7567901234567901
oulad_FFF_2013B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1614,0.7698832198012985,0.6532999164578112
oulad_FFF_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,2283,0.878803253232477,0.7980470483799379
oulad_FFF_2013J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,2283,0.8401057761788354,0.6483126110124334
oulad_FFF_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1500,0.872957649236197,0.7720320466132556
oulad_FFF_2014B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1500,0.854406597696662,0.6078066914498141
oulad_FFF_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,2365,0.9042586311778344,0.8233261339092872
oulad_FFF_2014J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,2365,0.8671604199664853,0.6415852958070075
ku_Accountancy_1819,KU Leuven,P_in_leave_one_cohort_out,1,zscore,gradient_boosting,756,0.6049508265327475,0.7286821705426356
ku_Accountancy_1819,KU Leuven,P_out_other_institutions,28,zscore,gradient_boosting,756,0.6091650973006905,0.821681068342498
ku_Globaleconom_1819,KU Leuven,P_in_leave_one_cohort_out,1,zscore,gradient_boosting,743,0.5799705557600294,0.7090047393364929
ku_Globaleconom_1819,KU Leuven,P_out_other_institutions,28,zscore,gradient_boosting,743,0.6228303275671697,0.6774193548387096
ukzn_ISTN101_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,1056,0.6570602313522138,0.9022082018927445
ukzn_ISTN101_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,1056,0.616065641204627,0.7225548902195609
ukzn_ISTN101_2020,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,978,0.6681861119043958,0.9533512064343164
ukzn_ISTN101_2020,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,978,0.691208453241361,0.6346433770014556
ukzn_ISTN101_2021,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,741,0.7812778011893057,0.9382899628252788
ukzn_ISTN101_2021,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,741,0.6854310062274664,0.2131578947368421
ukzn_ISTN102_2018,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,257,0.6611033302209773,0.8475336322869955
ukzn_ISTN102_2018,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,257,0.6413398692810457,0.6298701298701299
ukzn_ISTN103_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,1113,0.6657708077080771,0.8408376963350785
ukzn_ISTN103_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,1113,0.6518655186551865,0.7233757535164099
ukzn_ISTN103_2020,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,1082,0.6858639449665034,0.9438750610053684
