source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_at_0.5,explanation_tau,explanation_jaccard_top3
oulad_FFF_2014B,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,327,0.8020872865275142,0.0,0.14285714285714288,0.2
oulad_FFF_2014B,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,238,0.7738402061855671,0.0,0.14285714285714288,0.2
oulad_FFF_2014B,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,264,0.7512870012870013,0.008968609865470852,-0.04761904761904762,0.2
oulad_FFF_2014B,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,99,0.6621621621621621,0.02666666666666667,-0.23809523809523814,0.2
oulad_FFF_2014B,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,116,0.7256493506493505,0.5396825396825397,0.33333333333333337,0.5
oulad_FFF_2014B,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,144,0.559588626739262,0.0,0.04761904761904762,0.5
oulad_FFF_2014B,ukzn_ISTN3ND_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,223,0.6952767902488572,0.022099447513812154,0.04761904761904762,0.5
oulad_FFF_2014B,ukzn_ISTN3SA_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,141,0.6546546546546547,0.44594594594594594,0.5238095238095238,0.5
oulad_FFF_2014B,ukzn_ISTN3SA_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,195,0.6145882352941177,0.5491803278688525,0.4285714285714286,0.5
oulad_FFF_2014J,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1767,0.8598693695323038,0.7643467643467643,0.14285714285714288,0.5
oulad_FFF_2014J,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2237,0.8654194157965538,0.70276008492569,0.8095238095238096,1.0
oulad_FFF_2014J,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1613,0.8655961137796877,0.6565008025682183,0.5238095238095238,1.0
