target,institution,source_kind,source,attribute,groups,recall_best,recall_worst,recall_gap,worst_group
oulad_AAA_2013J,OULAD,transferred,oviedo_C2607_1415,age_band,2,0.33962264150943394,0.22916666666666666,0.11045597484276728,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2607_1415,highest_education,2,0.2857142857142857,0.2692307692307692,0.01648351648351648,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C3022_1415,gender,2,0.17391304347826086,0.15254237288135594,0.021370670596904923,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C3022_1415,age_band,2,0.16666666666666666,0.1509433962264151,0.01572327044025157,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C3022_1415,highest_education,2,0.16071428571428573,0.15384615384615385,0.0068681318681318715,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C3029_1415,gender,2,0.3559322033898305,0.2826086956521739,0.07332350773765661,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C3029_1415,age_band,2,0.41509433962264153,0.22916666666666666,0.18592767295597487,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C3029_1415,highest_education,2,0.39285714285714285,0.23076923076923078,0.16208791208791207,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C4189_1415,gender,2,0.21739130434782608,0.15254237288135594,0.06484893146647014,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C4189_1415,age_band,2,0.22916666666666666,0.1320754716981132,0.09709119496855345,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C4189_1415,highest_education,2,0.16071428571428573,0.11538461538461539,0.045329670329670335,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C4213_1415,gender,2,0.4576271186440678,0.2391304347826087,0.2184966838614591,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C4213_1415,age_band,2,0.4716981132075472,0.25,0.22169811320754718,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C4213_1415,highest_education,2,0.4230769230769231,0.375,0.04807692307692307,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C836_1415,gender,2,0.4782608695652174,0.4406779661016949,0.0375829034635225,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C836_1415,age_band,2,0.5094339622641509,0.4166666666666667,0.09276729559748426,35-55
