feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,is_unregistered_by_week,4.506452490805706,0.07272064794589858,0.006313744151613721,-0.712774070542724,-0.7049904426541059,higher values generally align with lower predicted final_grade,0.3274793388429752,0.0,positive_permutation_rmse_increase,4.506452490805706,0.16972640406268025,2
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_submitted_weight_to_date,4.065576158708094,0.05978683152616511,0.0127178744359644,0.7424284816854814,0.7369655963544726,higher values generally align with higher predicted final_grade,64.54832415059688,22.5,positive_permutation_rmse_increase,4.065576158708094,0.15312169012506738,3
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,tma_mastery_to_date,2.8964188475987305,0.03330830181820276,0.2580692310765002,0.9658974231698294,0.9547870229676083,higher values generally align with higher predicted final_grade,42.82488665059688,64.0,positive_permutation_rmse_increase,2.8964188475987305,0.10908774843744379,4
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_assessment_weighted_score_to_date,1.913882293540123,0.038138782629401166,0.0443304937091575,0.41421074077165876,0.38584987789371056,higher values generally align with higher predicted final_grade,69.84653936836109,75.22222222222223,positive_permutation_rmse_increase,1.913882293540123,0.07208249951476196,5
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,current_week_clicks,1.4355280885988018,0.04017087833548535,0.023354346303613258,0.3629455752806925,0.3402453199327454,higher values generally align with higher predicted final_grade,18.49265381083563,5.0,positive_permutation_rmse_increase,1.4355280885988018,0.05406625741776893,6
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_content_clicks_to_date,0.9353672772389915,0.033414187174922776,0.0049516708637633335,0.5733145556112217,0.5517055378887783,higher values generally align with higher predicted final_grade,567.32782369146,218.0,positive_permutation_rmse_increase,0.9353672772389915,0.03522871366503415,7
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_assessment_score_mean_to_date,0.48395164858171164,0.02292709970423994,0.019904128784462977,0.45344127830232805,0.4216492340605169,higher values generally align with higher predicted final_grade,70.70127137172592,75.0,positive_permutation_rmse_increase,0.48395164858171164,0.018227058472615604,8
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_clicks_to_date,0.37790932037484193,0.028138916364263578,0.011596472216464457,0.598335606872631,0.5748527317748245,higher values generally align with higher predicted final_grade,880.65645087236,310.0,positive_permutation_rmse_increase,0.37790932037484193,0.01423318899730052,9
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_assessment_score_count_to_date,0.34264117252923104,0.021808757594210245,0.0007371114608683536,0.8522311565371418,0.8508977815950611,higher values generally align with higher predicted final_grade,3.452364554637282,2.0,positive_permutation_rmse_increase,0.34264117252923104,0.012904885653595176,10
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,current_week_activity_types,0.17477042907877127,0.0078036990288387915,0.007945183270086907,0.6594334364508065,0.6488775495025805,higher values generally align with higher predicted final_grade,1.61455463728191,2.0,positive_permutation_rmse_increase,0.17477042907877127,0.006582374167829755,11
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_social_clicks_to_date,0.16745892536912485,0.02801785641791913,0.009107027200090186,0.5923496635539685,0.567554376616603,higher values generally align with higher predicted final_grade,298.91689623507807,74.0,positive_permutation_rmse_increase,0.16745892536912485,0.006307001191977664,12
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,late_submission_rate_to_date,0.12102185666737443,0.02643003271076146,0.005334340379151716,-0.08471668593674786,-0.054116586979788675,weak or mixed direction in held-out predictions,0.11884674668765577,0.0,positive_permutation_rmse_increase,0.12102185666737443,0.0045580430698094684,13
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,banked_assessment_rate_to_date,0.06345716498694311,0.0111670404430521,0.004069461216580005,-0.06503875580129045,-0.06330334133701318,weak or mixed direction in held-out predictions,0.031189328348419254,0.0,positive_permutation_rmse_increase,0.06345716498694311,0.002389985570073201,14
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,current_assessment_cluster_mastery,0.024379277010374168,0.009619658368856763,0.0005103068000028913,0.3018432585822723,0.293211238213787,higher values generally align with higher predicted final_grade,51.617079889807165,56.0,positive_permutation_rmse_increase,0.024379277010374168,0.000918196081964903,15
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_other_clicks_to_date,0.010806284047504633,0.011916302729980411,0.004853261635971592,0.2134074414240397,0.20301731760641142,higher values generally align with higher predicted final_grade,5.633723599632691,0.0,positive_permutation_rmse_increase,0.010806284047504633,0.0004069967976817498,16
