cohort_id,institution,representation,seed,n_students,floor_tau,floor_jaccard,ceiling_tau,ceiling_jaccard,ceiling_full_tau,ceiling_full_jaccard
ku_Globaleconom_2021,KU Leuven,raw,0,335,0.6190476190476191,0.5,0.14285714285714288,0.5,0.8095238095238096,1.0
ku_Globaleconom_2021,KU Leuven,raw,1,335,0.9047619047619049,0.5,-0.04761904761904762,0.5,0.6190476190476191,0.5
ku_Globaleconom_2021,KU Leuven,raw,2,335,0.6190476190476191,0.5,0.23809523809523814,0.5,0.9047619047619049,1.0
ku_Globaleconom_2021,KU Leuven,raw,3,335,0.7142857142857143,0.5,-0.23809523809523814,0.5,0.23809523809523814,0.5
ku_Globaleconom_2021,KU Leuven,raw,4,335,0.8095238095238096,1.0,0.7142857142857143,1.0,0.8095238095238096,1.0
ukzn_ISTN101_2019,UKZN,raw,0,1056,0.7142857142857143,0.5,0.4285714285714286,0.5,0.6190476190476191,0.5
ukzn_ISTN101_2019,UKZN,raw,1,1056,0.8095238095238096,1.0,0.7142857142857143,0.5,0.6190476190476191,1.0
ukzn_ISTN101_2019,UKZN,raw,2,1056,0.7142857142857143,1.0,0.5238095238095238,0.5,0.6190476190476191,0.5
ukzn_ISTN101_2019,UKZN,raw,3,1056,0.8095238095238096,1.0,0.33333333333333337,1.0,0.8095238095238096,1.0
ukzn_ISTN101_2019,UKZN,raw,4,1056,0.4285714285714286,0.5,-0.23809523809523814,0.0,0.6190476190476191,0.5
ukzn_ISTN101_2020,UKZN,raw,0,978,0.7142857142857143,1.0,-0.23809523809523814,0.2,-0.04761904761904762,0.2
ukzn_ISTN101_2020,UKZN,raw,1,978,0.9047619047619049,1.0,0.8095238095238096,1.0,0.6190476190476191,0.5
ukzn_ISTN101_2020,UKZN,raw,2,978,0.9047619047619049,1.0,0.4285714285714286,0.5,0.6190476190476191,1.0
ukzn_ISTN101_2020,UKZN,raw,3,978,0.33333333333333337,0.5,0.14285714285714288,0.2,0.23809523809523814,0.5
ukzn_ISTN101_2020,UKZN,raw,4,978,0.7142857142857143,1.0,0.8095238095238096,0.5,0.5238095238095238,1.0
ukzn_ISTN101_2021,UKZN,raw,0,741,0.23809523809523814,0.5,-0.14285714285714288,0.2,-0.14285714285714288,0.2
ukzn_ISTN101_2021,UKZN,raw,1,741,0.5238095238095238,0.5,-0.04761904761904762,0.2,0.23809523809523814,0.5
ukzn_ISTN101_2021,UKZN,raw,2,741,0.5238095238095238,0.5,0.5238095238095238,0.5,0.7142857142857143,0.5
ukzn_ISTN101_2021,UKZN,raw,3,741,0.7142857142857143,0.5,0.5238095238095238,1.0,0.7142857142857143,1.0
ukzn_ISTN101_2021,UKZN,raw,4,741,0.7142857142857143,1.0,0.5238095238095238,0.5,0.5238095238095238,0.5
ukzn_ISTN102_2018,UKZN,raw,0,257,0.6190476190476191,0.5,0.33333333333333337,0.5,0.5238095238095238,1.0
ukzn_ISTN102_2018,UKZN,raw,1,257,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7142857142857143,1.0
ukzn_ISTN102_2018,UKZN,raw,2,257,0.4285714285714286,0.5,0.04761904761904762,0.2,0.23809523809523814,0.5
ukzn_ISTN102_2018,UKZN,raw,3,257,0.8095238095238096,0.5,0.4285714285714286,0.5,0.6190476190476191,0.5
ukzn_ISTN102_2018,UKZN,raw,4,257,0.8095238095238096,1.0,0.5238095238095238,0.5,0.5238095238095238,0.5
ukzn_ISTN103_2019,UKZN,raw,0,1113,0.8095238095238096,1.0,0.04761904761904762,0.2,0.9047619047619049,1.0
ukzn_ISTN103_2019,UKZN,raw,1,1113,0.8095238095238096,0.5,0.8095238095238096,0.5,0.9047619047619049,1.0
ukzn_ISTN103_2019,UKZN,raw,2,1113,0.7142857142857143,0.5,0.7142857142857143,0.5,0.9047619047619049,1.0
ukzn_ISTN103_2019,UKZN,raw,3,1113,1.0,1.0,0.6190476190476191,0.5,0.8095238095238096,0.5
ukzn_ISTN103_2019,UKZN,raw,4,1113,0.8095238095238096,0.5,0.7142857142857143,0.5,0.6190476190476191,0.5
ukzn_ISTN103_2020,UKZN,raw,0,1082,0.9047619047619049,0.5,0.14285714285714288,0.5,0.6190476190476191,1.0
ukzn_ISTN103_2020,UKZN,raw,1,1082,0.7142857142857143,1.0,0.4285714285714286,0.5,0.33333333333333337,0.5
ukzn_ISTN103_2020,UKZN,raw,2,1082,0.8095238095238096,0.5,0.33333333333333337,0.5,0.7142857142857143,1.0
ukzn_ISTN103_2020,UKZN,raw,3,1082,0.8095238095238096,1.0,0.4285714285714286,0.5,0.7142857142857143,1.0
ukzn_ISTN103_2020,UKZN,raw,4,1082,0.4285714285714286,0.5,0.33333333333333337,0.2,0.5238095238095238,0.5
ukzn_ISTN211_2019,UKZN,raw,0,280,1.0,1.0,-0.23809523809523814,0.2,-0.8095238095238096,0.0
ukzn_ISTN211_2019,UKZN,raw,1,280,0.8095238095238096,1.0,0.33333333333333337,1.0,0.04761904761904762,0.5
ukzn_ISTN211_2019,UKZN,raw,2,280,-0.04761904761904762,0.5,-0.4285714285714286,0.2,-0.14285714285714288,0.5
ukzn_ISTN211_2019,UKZN,raw,3,280,0.5238095238095238,1.0,0.4285714285714286,0.5,0.33333333333333337,0.5
ukzn_ISTN211_2019,UKZN,raw,4,280,0.8095238095238096,1.0,0.33333333333333337,0.5,0.5238095238095238,0.5
ukzn_ISTN211_2021,UKZN,raw,0,327,0.8095238095238096,0.5,0.14285714285714288,0.5,0.14285714285714288,0.5
ukzn_ISTN211_2021,UKZN,raw,1,327,0.8095238095238096,1.0,-0.04761904761904762,0.2,0.04761904761904762,0.5
ukzn_ISTN211_2021,UKZN,raw,2,327,0.4285714285714286,0.5,-0.4285714285714286,0.2,0.04761904761904762,0.2
ukzn_ISTN211_2021,UKZN,raw,3,327,0.6190476190476191,0.5,0.14285714285714288,0.5,0.33333333333333337,0.5
ukzn_ISTN211_2021,UKZN,raw,4,327,0.33333333333333337,0.5,0.04761904761904762,0.5,0.8095238095238096,0.5
ukzn_ISTN212_2018,UKZN,raw,0,238,0.5238095238095238,1.0,-0.14285714285714288,0.2,0.23809523809523814,0.5
ukzn_ISTN212_2018,UKZN,raw,1,238,0.8095238095238096,0.5,0.23809523809523814,0.2,0.4285714285714286,0.2
ukzn_ISTN212_2018,UKZN,raw,2,238,0.7142857142857143,1.0,0.14285714285714288,0.5,0.4285714285714286,0.5
ukzn_ISTN212_2018,UKZN,raw,3,238,0.23809523809523814,0.5,0.14285714285714288,0.5,0.04761904761904762,0.5
ukzn_ISTN212_2018,UKZN,raw,4,238,0.7142857142857143,1.0,-0.23809523809523814,0.5,0.5238095238095238,0.5
ukzn_ISTN212_2019,UKZN,raw,0,264,0.7142857142857143,1.0,0.6190476190476191,0.5,0.6190476190476191,0.5
ukzn_ISTN212_2019,UKZN,raw,1,264,0.8095238095238096,0.5,0.5238095238095238,0.5,0.7142857142857143,0.5
ukzn_ISTN212_2019,UKZN,raw,2,264,0.6190476190476191,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5
ukzn_ISTN212_2019,UKZN,raw,3,264,0.4285714285714286,0.5,-0.33333333333333337,0.2,0.33333333333333337,0.5
ukzn_ISTN212_2019,UKZN,raw,4,264,0.14285714285714288,0.5,0.14285714285714288,0.5,0.6190476190476191,0.5
ukzn_ISTN2IP_2018,UKZN,raw,0,99,0.5238095238095238,0.5,-0.04761904761904762,0.2,0.33333333333333337,1.0
ukzn_ISTN2IP_2018,UKZN,raw,1,99,0.7142857142857143,0.5,0.04761904761904762,0.5,0.4285714285714286,0.5
ukzn_ISTN2IP_2018,UKZN,raw,2,99,0.5238095238095238,0.5,0.04761904761904762,0.2,-0.14285714285714288,0.2
ukzn_ISTN2IP_2018,UKZN,raw,3,99,1.0,1.0,-0.23809523809523814,0.2,0.14285714285714288,0.2
ukzn_ISTN2IP_2018,UKZN,raw,4,99,0.23809523809523814,0.2,-0.4285714285714286,0.2,0.5238095238095238,0.5
ukzn_ISTN2IP_2019,UKZN,raw,0,116,0.4285714285714286,1.0,-0.33333333333333337,0.2,-0.23809523809523814,0.2
ukzn_ISTN2IP_2019,UKZN,raw,1,116,0.9047619047619049,0.5,0.5238095238095238,0.2,0.6190476190476191,0.5
ukzn_ISTN2IP_2019,UKZN,raw,2,116,0.7142857142857143,0.5,0.4285714285714286,0.5,0.5238095238095238,0.5
ukzn_ISTN2IP_2019,UKZN,raw,3,116,0.6190476190476191,0.5,-0.33333333333333337,0.2,-0.14285714285714288,0.0
ukzn_ISTN2IP_2019,UKZN,raw,4,116,-0.23809523809523814,0.0,0.04761904761904762,0.0,0.33333333333333337,0.5
ukzn_ISTN3ND_2018,UKZN,raw,0,144,0.4285714285714286,0.2,-0.4285714285714286,0.2,0.5238095238095238,0.5
ukzn_ISTN3ND_2018,UKZN,raw,1,144,0.6190476190476191,0.5,-0.14285714285714288,0.5,0.4285714285714286,0.5
ukzn_ISTN3ND_2018,UKZN,raw,2,144,0.4285714285714286,0.5,-0.33333333333333337,0.2,0.33333333333333337,0.2
ukzn_ISTN3ND_2018,UKZN,raw,3,144,0.9047619047619049,1.0,0.33333333333333337,0.2,0.14285714285714288,0.5
ukzn_ISTN3ND_2018,UKZN,raw,4,144,0.5238095238095238,0.5,0.5238095238095238,1.0,0.7142857142857143,0.5
ukzn_ISTN3ND_2019,UKZN,raw,0,223,1.0,1.0,0.4285714285714286,0.5,0.23809523809523814,0.2
ukzn_ISTN3ND_2019,UKZN,raw,1,223,0.8095238095238096,1.0,0.04761904761904762,0.2,0.5238095238095238,0.2
ukzn_ISTN3ND_2019,UKZN,raw,2,223,0.9047619047619049,1.0,0.33333333333333337,0.5,0.4285714285714286,0.5
ukzn_ISTN3ND_2019,UKZN,raw,3,223,0.4285714285714286,0.5,0.4285714285714286,0.5,-0.14285714285714288,0.2
ukzn_ISTN3ND_2019,UKZN,raw,4,223,0.9047619047619049,1.0,0.14285714285714288,0.5,-0.23809523809523814,0.2
ukzn_ISTN3SA_2018,UKZN,raw,0,141,0.4285714285714286,0.5,-0.23809523809523814,0.2,0.23809523809523814,0.5
ukzn_ISTN3SA_2018,UKZN,raw,1,141,0.6190476190476191,1.0,0.04761904761904762,0.5,0.33333333333333337,0.5
ukzn_ISTN3SA_2018,UKZN,raw,2,141,0.04761904761904762,0.5,0.04761904761904762,0.2,-0.04761904761904762,0.2
ukzn_ISTN3SA_2018,UKZN,raw,3,141,0.33333333333333337,0.5,-0.4285714285714286,0.2,-0.14285714285714288,0.0
ukzn_ISTN3SA_2018,UKZN,raw,4,141,0.6190476190476191,0.5,0.33333333333333337,0.2,0.23809523809523814,0.2
ukzn_ISTN3SA_2019,UKZN,raw,0,195,0.5238095238095238,0.5,-0.14285714285714288,0.2,0.04761904761904762,0.2
ukzn_ISTN3SA_2019,UKZN,raw,1,195,0.7142857142857143,0.5,-0.14285714285714288,0.2,0.14285714285714288,0.2
