institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
Zambia,tau_strict,lime,kernelshap_prob,cross,0.4638095238095238,0.41731601731601736,0.5206349206349207,0.5345,40
Zambia,tau_b,shap,shap,self,0.7676190476190476,0.7333333333333334,0.7956709956709958,,40
Zambia,tau_b,occlusion,occlusion,self,0.6821737052282594,0.669836106768494,0.6922681039680675,,40
Zambia,tau_b,lime,lime,self,0.5066666666666666,0.470995670995671,0.5502645502645502,,40
Zambia,tau_b,kernelshap_prob,kernelshap_prob,self,0.7623809523809524,0.6931216931216932,0.8190476190476192,,40
Zambia,tau_b,shap,occlusion,cross,0.46048894052051637,0.4422846405156756,0.4753833677972042,,40
Zambia,tau_b,shap,lime,cross,0.45238095238095244,0.3532467532467533,0.5735449735449736,,40
Zambia,tau_b,shap,kernelshap_prob,cross,0.760952380952381,0.722943722943723,0.8074074074074075,,40
Zambia,tau_b,occlusion,lime,cross,0.18720248345916862,0.08253192430712653,0.3151331668672201,,40
Zambia,tau_b,occlusion,kernelshap_prob,cross,0.4148469026074748,0.40636645690003254,0.42178544909538207,,40
Zambia,tau_b,lime,kernelshap_prob,cross,0.4638095238095238,0.41731601731601736,0.5206349206349207,,40
Oviedo,tau_strict,shap,shap,self,0.7553182720767301,0.7169417324609895,0.7930206836508028,0.7971439811172304,1271
Oviedo,tau_strict,occlusion,occlusion,self,0.8357498782361095,0.8025907566079868,0.8619353763569023,0.8047993705743509,1271
Oviedo,tau_strict,lime,lime,self,0.5670900303473081,0.5121084493201882,0.6109062830569139,0.6741856805664832,1271
Oviedo,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7583904686973137,0.7248781149134437,0.795859840029762,0.8159559402045633,1271
Oviedo,tau_strict,shap,occlusion,cross,0.4960248772994643,0.4350591123341816,0.5465597909772959,0.5583792289535799,1271
Oviedo,tau_strict,shap,lime,cross,0.337319695777603,0.24784072361213322,0.41555169922356067,0.4795279307631786,1271
Oviedo,tau_strict,shap,kernelshap_prob,cross,0.8081001086508562,0.7598412870156671,0.8574551338629008,0.8306845003933911,1271
Oviedo,tau_strict,occlusion,lime,cross,0.22268929601738416,0.10474564459930313,0.3245483277635602,0.3987254130605822,1271
Oviedo,tau_strict,occlusion,kernelshap_prob,cross,0.49771833202203003,0.4629778597052993,0.5318663043848383,0.5611014948859165,1271
Oviedo,tau_strict,lime,kernelshap_prob,cross,0.33667528380352935,0.23108714957848914,0.42577082636531405,0.4731549960660897,1271
Oviedo,tau_b,shap,shap,self,0.7548248561874963,0.7160654203948774,0.7930045204653591,,1271
Oviedo,tau_b,occlusion,occlusion,self,0.8013662200687672,0.7656895982277376,0.8327780381073694,,1233
Oviedo,tau_b,lime,lime,self,0.5668218582452456,0.5119429262845775,0.6100869102089759,,1271
Oviedo,tau_b,kernelshap_prob,kernelshap_prob,self,0.7578889108623288,0.723556953631274,0.795859840029762,,1271
Oviedo,tau_b,shap,occlusion,cross,0.4723345035580119,0.4034705533564858,0.5258820415958407,,1233
Oviedo,tau_b,shap,lime,cross,0.3394641831205899,0.24911051815002153,0.41760719354527515,,1271
Oviedo,tau_b,shap,kernelshap_prob,cross,0.8080618935221612,0.7598001617696767,0.8574181854957342,,1271
Oviedo,tau_b,occlusion,lime,cross,0.19138759083173226,0.07903165452241463,0.29239070047905025,,1233
Oviedo,tau_b,occlusion,kernelshap_prob,cross,0.4727994002838784,0.43497532064957534,0.5058945951870155,,1233
Oviedo,tau_b,lime,kernelshap_prob,cross,0.33886050443900473,0.2325805517175878,0.42836742005119727,,1271
