source,target,target_institution,distance,representation,rule,f1_fail,f1_fail_baseline,alert_rate,recall,precision,calibration_in_large
oviedo_C2271_1415,oulad_BBB_2013J,OULAD,D3_other_institution,raw,fixed_0.5,0.6699470098410295,0.684891240446796,0.6602592758158248,0.759656652360515,0.5991875423155044,0.12520109978587313
oviedo_C2271_1415,oulad_BBB_2013J,OULAD,D3_other_institution,raw,source_rate,0.6644359464627151,0.684891240446796,0.41439427805096113,0.5965665236051502,0.749730312837109,0.12520109978587313
oviedo_C2271_1415,oulad_BBB_2013J,OULAD,D3_other_institution,percentile,fixed_0.5,0.5769656699889258,0.684891240446796,0.286544479213232,0.4472103004291845,0.8127925117004681,-0.09575818418984505
oviedo_C2271_1415,oulad_BBB_2013J,OULAD,D3_other_institution,percentile,source_rate,0.6453154875717018,0.684891240446796,0.41439427805096113,0.5793991416309013,0.7281553398058253,-0.09575818418984505
oviedo_C2271_1415,oulad_BBB_2014B,OULAD,D3_other_institution,raw,fixed_0.5,0.7095141700404858,0.7090836334533814,0.675759454432734,0.791196388261851,0.6431192660550459,0.11438264118309405
oviedo_C2271_1415,oulad_BBB_2014B,OULAD,D3_other_institution,raw,source_rate,0.6885456885456885,0.7090836334533814,0.41413515189088657,0.6038374717832957,0.8008982035928144,0.11438264118309405
oviedo_C2271_1415,oulad_BBB_2014B,OULAD,D3_other_institution,percentile,fixed_0.5,0.5813449023861171,0.7090836334533814,0.30812151270923743,0.45372460496614,0.8088531187122736,-0.10616558431065454
oviedo_C2271_1415,oulad_BBB_2014B,OULAD,D3_other_institution,percentile,source_rate,0.6563706563706564,0.7090836334533814,0.41413515189088657,0.5756207674943566,0.7634730538922155,-0.10616558431065454
oviedo_C2271_1415,oulad_BBB_2014J,OULAD,D3_other_institution,raw,fixed_0.5,0.6309672063096721,0.6643356643356644,0.5536649214659686,0.6666666666666666,0.598896769109535,0.09365461384225116
oviedo_C2271_1415,oulad_BBB_2014J,OULAD,D3_other_institution,raw,source_rate,0.6229665071770335,0.6643356643356644,0.4144851657940663,0.5710526315789474,0.6852631578947368,0.09365461384225116
oviedo_C2271_1415,oulad_BBB_2014J,OULAD,D3_other_institution,percentile,fixed_0.5,0.5466052934407365,0.6643356643356644,0.26090750436300175,0.4166666666666667,0.794314381270903,-0.0798203553310255
oviedo_C2271_1415,oulad_BBB_2014J,OULAD,D3_other_institution,percentile,source_rate,0.6574162679425838,0.6643356643356644,0.4144851657940663,0.6026315789473684,0.7231578947368421,-0.0798203553310255
oviedo_C2271_1415,oulad_CCC_2014B,OULAD,D3_other_institution,raw,fixed_0.5,0.6086956521739131,0.7933935805546899,0.47107438016528924,0.5223880597014925,0.7291666666666666,-0.13135159652353234
oviedo_C2271_1415,oulad_CCC_2014B,OULAD,D3_other_institution,raw,source_rate,0.5831325301204819,0.7933935805546899,0.4142561983471074,0.4752553024351925,0.7543640897755611,-0.13135159652353234
oviedo_C2271_1415,oulad_CCC_2014B,OULAD,D3_other_institution,percentile,fixed_0.5,0.5616438356164384,0.7933935805546899,0.3228305785123967,0.4186959937156324,0.8528,-0.22282082595428243
oviedo_C2271_1415,oulad_CCC_2014B,OULAD,D3_other_institution,percentile,source_rate,0.6313253012048192,0.7933935805546899,0.4142561983471074,0.5145326001571092,0.816708229426434,-0.22282082595428243
oviedo_C2271_1415,oulad_CCC_2014J,OULAD,D3_other_institution,raw,fixed_0.5,0.5610244097639056,0.7450389349409695,0.4067253803042434,0.4726904922454484,0.6899606299212598,-0.10196584612965537
oviedo_C2271_1415,oulad_CCC_2014J,OULAD,D3_other_institution,raw,source_rate,0.5647339158061954,0.7450389349409695,0.4143314651721377,0.4794335805799056,0.6869565217391305,-0.10196584612965537
oviedo_C2271_1415,oulad_CCC_2014J,OULAD,D3_other_institution,percentile,fixed_0.5,0.737410071942446,0.7450389349409695,0.5192153722978383,0.6911665542818611,0.7902852737085582,-0.11659316781874812
oviedo_C2271_1415,oulad_CCC_2014J,OULAD,D3_other_institution,percentile,source_rate,0.6687847498014297,0.7450389349409695,0.4143314651721377,0.5677680377612947,0.8135265700483092,-0.11659316781874812
oviedo_C2271_1415,oulad_DDD_2013B,OULAD,D3_other_institution,raw,fixed_0.5,0.5676567656765676,0.7566793893129771,0.3215656178050652,0.4337957124842371,0.8210023866348448,-0.1657921841742983
