institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
UKZN,tau_b,lime,kernelshap_prob,cross,0.5931000570405776,0.5367601280389219,0.6421814932224048,,2421
Zambia,tau_strict,shap,shap,self,0.7571428571428572,0.7259259259259259,0.7826839826839826,0.74575,40
Zambia,tau_strict,occlusion,occlusion,self,0.8428571428571431,0.7968253968253969,0.8805194805194806,0.8324999999999999,40
Zambia,tau_strict,lime,lime,self,0.6838095238095239,0.658008658008658,0.7153439153439154,0.709,40
Zambia,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7347619047619048,0.6804232804232805,0.7792207792207794,0.7344999999999999,40
Zambia,tau_strict,shap,occlusion,cross,0.54,0.45079365079365086,0.612987012987013,0.6890000000000001,40
Zambia,tau_strict,shap,lime,cross,0.5176190476190478,0.4580086580086581,0.5904761904761906,0.5654999999999999,40
Zambia,tau_strict,shap,kernelshap_prob,cross,0.9161904761904763,0.9151515151515153,0.9174603174603175,0.8875,40
Zambia,tau_strict,occlusion,lime,cross,0.2347619047619048,0.21645021645021648,0.2571428571428572,0.45150000000000007,40
Zambia,tau_strict,occlusion,kernelshap_prob,cross,0.5371428571428571,0.4761904761904763,0.587012987012987,0.6729999999999999,40
Zambia,tau_strict,lime,kernelshap_prob,cross,0.5357142857142858,0.4753246753246753,0.6095238095238096,0.5875,40
Zambia,tau_b,shap,shap,self,0.7571428571428572,0.7259259259259259,0.7826839826839826,,40
Zambia,tau_b,occlusion,occlusion,self,0.8298353003318046,0.7767831960251325,0.8732415674918091,,40
Zambia,tau_b,lime,lime,self,0.6838095238095239,0.658008658008658,0.7153439153439154,,40
Zambia,tau_b,kernelshap_prob,kernelshap_prob,self,0.7347619047619048,0.6804232804232805,0.7792207792207794,,40
Zambia,tau_b,shap,occlusion,cross,0.5696595222738446,0.512471214831475,0.6164499556357834,,40
Zambia,tau_b,shap,lime,cross,0.5176190476190478,0.4580086580086581,0.5904761904761906,,40
Zambia,tau_b,shap,kernelshap_prob,cross,0.9161904761904763,0.9151515151515153,0.9174603174603175,,40
Zambia,tau_b,occlusion,lime,cross,0.2717938208167373,0.22649234615594438,0.32716228984659534,,40
Zambia,tau_b,occlusion,kernelshap_prob,cross,0.5719333369737679,0.5441487362804784,0.5946661920864593,,40
Zambia,tau_b,lime,kernelshap_prob,cross,0.5357142857142858,0.4753246753246753,0.6095238095238096,,40
Oviedo,tau_strict,shap,shap,self,0.7811696826645687,0.7500029975223305,0.8116736381508308,0.80822974036192,1271
Oviedo,tau_strict,occlusion,occlusion,self,0.8170769173129518,0.7891000233781902,0.8440899729587719,0.8222187254130605,1271
Oviedo,tau_strict,lime,lime,self,0.6922408302424039,0.659123306241983,0.7244662881197402,0.7393784421715185,1271
Oviedo,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8072458881270841,0.7801263216834761,0.8325104602726139,0.8268843430369788,1271
Oviedo,tau_strict,shap,occlusion,cross,0.5163313476452737,0.4685029679501511,0.5596523792589582,0.6627694728560188,1271
Oviedo,tau_strict,shap,lime,cross,0.6299426773069574,0.5887755204558339,0.6624940783330877,0.6791974822974036,1271
Oviedo,tau_strict,shap,kernelshap_prob,cross,0.8890412498595034,0.8457766162618443,0.9233946274966072,0.9037450826121163,1271
Oviedo,tau_strict,occlusion,lime,cross,0.3449027762167023,0.2801634695713643,0.4079426104006256,0.5391974822974036,1271
Oviedo,tau_strict,occlusion,kernelshap_prob,cross,0.5394102881120978,0.501644739517243,0.576960791811922,0.6778599527930763,1271
Oviedo,tau_strict,lime,kernelshap_prob,cross,0.6201416207710465,0.5738197431377898,0.6549160486112253,0.6772305271439811,1271
Oviedo,tau_b,shap,shap,self,0.7811696826645687,0.7500029975223305,0.8116736381508308,,1271
Oviedo,tau_b,occlusion,occlusion,self,0.8144732870875017,0.7893019008421336,0.8390526167056603,,1271
Oviedo,tau_b,lime,lime,self,0.6922408302424039,0.659123306241983,0.7244662881197402,,1271
Oviedo,tau_b,kernelshap_prob,kernelshap_prob,self,0.8072458881270841,0.7801263216834761,0.8325104602726139,,1271
Oviedo,tau_b,shap,occlusion,cross,0.5308508834058674,0.4796073212808776,0.578372960383902,,1271
Oviedo,tau_b,shap,lime,cross,0.6299426773069574,0.5887755204558339,0.6624940783330877,,1271
Oviedo,tau_b,shap,kernelshap_prob,cross,0.8890412498595034,0.8457766162618443,0.9233946274966072,,1271
Oviedo,tau_b,occlusion,lime,cross,0.35553856411593154,0.2846063832102706,0.42155788466361444,,1271
Oviedo,tau_b,occlusion,kernelshap_prob,cross,0.555167831123733,0.5133924797124065,0.5957258714545005,,1271
Oviedo,tau_b,lime,kernelshap_prob,cross,0.6201416207710465,0.5738197431377898,0.6549160486112253,,1271
