feature_set,n_features,source,target,distance,model,auc
S_shared7,7,oulad_FFF_2014J,oulad_FFF_2013J,D1_same_module,gradient_boosting,0.876824946573805
S_shared7,7,oulad_FFF_2014J,oulad_FFF_2014B,D1_same_module,gradient_boosting,0.8682638572595629
S_shared7,7,oulad_FFF_2014J,oulad_FFF_2014J,D0_within_cohort,gradient_boosting,0.8971514674150081
E_rich_engagement,11,oulad_BBB_2013B,oulad_BBB_2013B,D0_within_cohort,gradient_boosting,0.8611198668892069
E_rich_engagement,11,oulad_BBB_2013B,oulad_BBB_2013J,D1_same_module,gradient_boosting,0.8597215104733842
E_rich_engagement,11,oulad_BBB_2013B,oulad_BBB_2014B,D1_same_module,gradient_boosting,0.8565450333942949
E_rich_engagement,11,oulad_BBB_2013B,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.8284200627436646
E_rich_engagement,11,oulad_BBB_2013B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8005476843953218
E_rich_engagement,11,oulad_BBB_2013B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8180932190945668
E_rich_engagement,11,oulad_BBB_2013B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8285870374138378
E_rich_engagement,11,oulad_BBB_2013B,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8381321873532557
E_rich_engagement,11,oulad_BBB_2013B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7035545875959079
E_rich_engagement,11,oulad_BBB_2013B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.7810948141998371
E_rich_engagement,11,oulad_BBB_2013B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.7557059304082533
E_rich_engagement,11,oulad_BBB_2013B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8146714241443427
E_rich_engagement,11,oulad_BBB_2013J,oulad_BBB_2013B,D1_same_module,gradient_boosting,0.8550211086020783
E_rich_engagement,11,oulad_BBB_2013J,oulad_BBB_2013J,D0_within_cohort,gradient_boosting,0.8645882710908974
E_rich_engagement,11,oulad_BBB_2013J,oulad_BBB_2014B,D1_same_module,gradient_boosting,0.8672029522357565
E_rich_engagement,11,oulad_BBB_2013J,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.8432645741959066
E_rich_engagement,11,oulad_BBB_2013J,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.7365279529213956
E_rich_engagement,11,oulad_BBB_2013J,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8023072547127842
E_rich_engagement,11,oulad_BBB_2013J,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8217595625064458
E_rich_engagement,11,oulad_BBB_2013J,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8249845137827333
E_rich_engagement,11,oulad_BBB_2013J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.6644206177454259
E_rich_engagement,11,oulad_BBB_2013J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8044005504051167
E_rich_engagement,11,oulad_BBB_2013J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.7156677221824596
E_rich_engagement,11,oulad_BBB_2013J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8346324575901568
E_rich_engagement,11,oulad_BBB_2014B,oulad_BBB_2013B,D1_same_module,gradient_boosting,0.8653228556812369
E_rich_engagement,11,oulad_BBB_2014B,oulad_BBB_2013J,D1_same_module,gradient_boosting,0.8694466241752611
E_rich_engagement,11,oulad_BBB_2014B,oulad_BBB_2014B,D0_within_cohort,gradient_boosting,0.8528539624481077
E_rich_engagement,11,oulad_BBB_2014B,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.8469279209307993
E_rich_engagement,11,oulad_BBB_2014B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8205239472838315
E_rich_engagement,11,oulad_BBB_2014B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8379972611411622
E_rich_engagement,11,oulad_BBB_2014B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.834650793960493
E_rich_engagement,11,oulad_BBB_2014B,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8394716202579704
E_rich_engagement,11,oulad_BBB_2014B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.6096639533739918
E_rich_engagement,11,oulad_BBB_2014B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.6951339882846732
E_rich_engagement,11,oulad_BBB_2014B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.6442541262714989
E_rich_engagement,11,oulad_BBB_2014B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.7278481739090513
E_rich_engagement,11,oulad_BBB_2014J,oulad_BBB_2013B,D1_same_module,gradient_boosting,0.8403355156751395
E_rich_engagement,11,oulad_BBB_2014J,oulad_BBB_2013J,D1_same_module,gradient_boosting,0.8450215392992122
E_rich_engagement,11,oulad_BBB_2014J,oulad_BBB_2014B,D1_same_module,gradient_boosting,0.8507635199542943
E_rich_engagement,11,oulad_BBB_2014J,oulad_BBB_2014J,D0_within_cohort,gradient_boosting,0.870472785696881
E_rich_engagement,11,oulad_BBB_2014J,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.7774163637712335
E_rich_engagement,11,oulad_BBB_2014J,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.80595380922184
E_rich_engagement,11,oulad_BBB_2014J,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8247489345571409
E_rich_engagement,11,oulad_BBB_2014J,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.7990775709618438
E_rich_engagement,11,oulad_BBB_2014J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8386464378811725
E_rich_engagement,11,oulad_BBB_2014J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8753428501145396
E_rich_engagement,11,oulad_BBB_2014J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8661202926525979
E_rich_engagement,11,oulad_BBB_2014J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.9004355043270665
E_rich_engagement,11,oulad_DDD_2013B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8539592193176004
E_rich_engagement,11,oulad_DDD_2013B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8556991063993338
E_rich_engagement,11,oulad_DDD_2013B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8548070086101702
E_rich_engagement,11,oulad_DDD_2013B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8270037615740741
E_rich_engagement,11,oulad_DDD_2013B,oulad_DDD_2013B,D0_within_cohort,gradient_boosting,0.8276067551863115
E_rich_engagement,11,oulad_DDD_2013B,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8591750139499065
E_rich_engagement,11,oulad_DDD_2013B,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.8616931134344749
E_rich_engagement,11,oulad_DDD_2013B,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.8503082256791454
E_rich_engagement,11,oulad_DDD_2013B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8231090460849892
E_rich_engagement,11,oulad_DDD_2013B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.862641637070861
E_rich_engagement,11,oulad_DDD_2013B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8605625682289746
E_rich_engagement,11,oulad_DDD_2013B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8835027718476689
E_rich_engagement,11,oulad_DDD_2013J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8364638828459665
E_rich_engagement,11,oulad_DDD_2013J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8016839087822689
E_rich_engagement,11,oulad_DDD_2013J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8198889340839157
E_rich_engagement,11,oulad_DDD_2013J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8088377954434698
E_rich_engagement,11,oulad_DDD_2013J,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.8347897040278912
E_rich_engagement,11,oulad_DDD_2013J,oulad_DDD_2013J,D0_within_cohort,gradient_boosting,0.8606940037700098
E_rich_engagement,11,oulad_DDD_2013J,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.8594131075254132
E_rich_engagement,11,oulad_DDD_2013J,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.8478816353445433
E_rich_engagement,11,oulad_DDD_2013J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7477406305331497
