cohort_id,institution,rule,n_students,auc,recall_at_flag20,cutoff
ukzn_ISTN3ND_2019,UKZN,cum_active_days,223,0.7246698831894363,0.4318181818181818,f25
ukzn_ISTN3ND_2019,UKZN,cum_clicks,223,0.7835830370746573,0.4318181818181818,f25
ukzn_ISTN3ND_2019,UKZN,active_weeks,223,0.6869603859827323,0.38636363636363635,f25
ukzn_ISTN3ND_2019,UKZN,weeks_since_active,223,0.5205053326561706,0.2727272727272727,f25
ukzn_ISTN3SA_2018,UKZN,cum_active_days,141,0.6906906906906908,0.4,f25
ukzn_ISTN3SA_2018,UKZN,cum_clicks,141,0.6135135135135136,0.3333333333333333,f25
ukzn_ISTN3SA_2018,UKZN,active_weeks,141,0.6896396396396397,0.4,f25
ukzn_ISTN3SA_2018,UKZN,weeks_since_active,141,0.6222222222222222,0.43333333333333335,f25
ukzn_ISTN3SA_2019,UKZN,cum_active_days,195,0.5930588235294119,0.32,f25
ukzn_ISTN3SA_2019,UKZN,cum_clicks,195,0.5875294117647059,0.28,f25
ukzn_ISTN3SA_2019,UKZN,active_weeks,195,0.5768235294117647,0.28,f25
ukzn_ISTN3SA_2019,UKZN,weeks_since_active,195,0.5461176470588236,0.24,f25
zambia_ICT1110_2020,Zambia,cum_active_days,65,0.5497448979591837,0.1836734693877551,f25
zambia_ICT1110_2020,Zambia,cum_clicks,65,0.46875,0.20408163265306123,f25
zambia_ICT1110_2020,Zambia,active_weeks,65,0.5778061224489796,0.1836734693877551,f25
zambia_ICT1110_2020,Zambia,weeks_since_active,65,0.5363520408163266,0.1836734693877551,f25
zambia_ICT1110_2021,Zambia,cum_active_days,52,0.57421875,0.25,f25
zambia_ICT1110_2021,Zambia,cum_clicks,52,0.58828125,0.25,f25
zambia_ICT1110_2021,Zambia,active_weeks,52,0.61171875,0.28125,f25
zambia_ICT1110_2021,Zambia,weeks_since_active,52,0.5039062499999999,0.125,f25
oviedo_C1112_1415,Oviedo,cum_active_days,199,0.7538665038665039,0.3333333333333333,f25
oviedo_C1112_1415,Oviedo,cum_clicks,199,0.7318376068376068,0.32407407407407407,f25
oviedo_C1112_1415,Oviedo,active_weeks,199,0.6834045584045584,0.3148148148148148,f25
oviedo_C1112_1415,Oviedo,weeks_since_active,199,0.5972222222222222,0.26851851851851855,f25
oviedo_C1127_1415,Oviedo,cum_active_days,106,0.5332950631458093,0.3076923076923077,f25
oviedo_C1127_1415,Oviedo,cum_clicks,106,0.5237275162648297,0.3076923076923077,f25
oviedo_C1127_1415,Oviedo,active_weeks,106,0.553769613471106,0.3076923076923077,f25
oviedo_C1127_1415,Oviedo,weeks_since_active,106,0.5951014159969383,0.2564102564102564,f25
oviedo_C1200_1415,Oviedo,cum_active_days,107,0.6226380813953488,0.28125,f25
oviedo_C1200_1415,Oviedo,cum_clicks,107,0.5813953488372093,0.265625,f25
oviedo_C1200_1415,Oviedo,active_weeks,107,0.5443313953488372,0.25,f25
oviedo_C1200_1415,Oviedo,weeks_since_active,107,0.59375,0.25,f25
oviedo_C1303_1415,Oviedo,cum_active_days,112,0.65,0.24285714285714285,f25
oviedo_C1303_1415,Oviedo,cum_clicks,112,0.6642857142857143,0.22857142857142856,f25
oviedo_C1303_1415,Oviedo,active_weeks,112,0.6309523809523809,0.2714285714285714,f25
oviedo_C1303_1415,Oviedo,weeks_since_active,112,0.5479591836734693,0.24285714285714285,f25
oviedo_C174_1415,Oviedo,cum_active_days,96,0.9235294117647059,0.4222222222222222,f25
oviedo_C174_1415,Oviedo,cum_clicks,96,0.9335511982570806,0.4222222222222222,f25
oviedo_C174_1415,Oviedo,active_weeks,96,0.922004357298475,0.4222222222222222,f25
oviedo_C174_1415,Oviedo,weeks_since_active,96,0.8444444444444444,0.4222222222222222,f25
oviedo_C190_1415,Oviedo,cum_active_days,112,0.4607843137254902,0.19672131147540983,f25
oviedo_C190_1415,Oviedo,cum_clicks,112,0.39054966248794604,0.16393442622950818,f25
oviedo_C190_1415,Oviedo,active_weeks,112,0.43924783027965286,0.14754098360655737,f25
oviedo_C190_1415,Oviedo,weeks_since_active,112,0.381067180970749,0.04918032786885246,f25
oviedo_C1978_1415,Oviedo,cum_active_days,164,0.6738209285187915,0.3695652173913043,f25
oviedo_C1978_1415,Oviedo,cum_clicks,164,0.6685703758290346,0.3695652173913043,f25
oviedo_C1978_1415,Oviedo,active_weeks,164,0.6616617538688282,0.34782608695652173,f25
oviedo_C1978_1415,Oviedo,weeks_since_active,164,0.6547531319086219,0.391304347826087,f25
oviedo_C2011_1415,Oviedo,cum_active_days,120,0.7283142389525368,0.4230769230769231,f25
oviedo_C2011_1415,Oviedo,cum_clicks,120,0.6953764320785597,0.4230769230769231,f25
oviedo_C2011_1415,Oviedo,active_weeks,120,0.6923076923076923,0.4230769230769231,f25
oviedo_C2011_1415,Oviedo,weeks_since_active,120,0.7015139116202946,0.4230769230769231,f25
oviedo_C2024_1415,Oviedo,cum_active_days,327,0.5666783216783217,0.28846153846153844,f25
oviedo_C2024_1415,Oviedo,cum_clicks,327,0.5285314685314686,0.2692307692307692,f25
oviedo_C2024_1415,Oviedo,active_weeks,327,0.5646153846153847,0.2692307692307692,f25
oviedo_C2024_1415,Oviedo,weeks_since_active,327,0.5513286713286715,0.28846153846153844,f25
oviedo_C2150_1415,Oviedo,cum_active_days,106,0.7347091932457785,0.4146341463414634,f25
oviedo_C2150_1415,Oviedo,cum_clicks,106,0.7559099437148218,0.4634146341463415,f25
oviedo_C2150_1415,Oviedo,active_weeks,106,0.7932457786116324,0.4146341463414634,f25
oviedo_C2150_1415,Oviedo,weeks_since_active,106,0.5609756097560976,0.3902439024390244,f25
oviedo_C2271_1415,Oviedo,cum_active_days,596,0.5880537800308573,0.26720647773279355,f25
oviedo_C2271_1415,Oviedo,cum_clicks,596,0.581835898982634,0.2591093117408907,f25
oviedo_C2271_1415,Oviedo,active_weeks,596,0.5887556117536513,0.27125506072874495,f25
oviedo_C2271_1415,Oviedo,weeks_since_active,596,0.5287751006345488,0.2388663967611336,f25
oviedo_C2335_1415,Oviedo,cum_active_days,428,0.527111444277861,0.2,f25
oviedo_C2335_1415,Oviedo,cum_clicks,428,0.5165167416291854,0.2,f25
oviedo_C2335_1415,Oviedo,active_weeks,428,0.5350574712643679,0.20689655172413793,f25
oviedo_C2335_1415,Oviedo,weeks_since_active,428,0.5102823588205897,0.2,f25
oviedo_C2406_1415,Oviedo,cum_active_days,133,0.6325301204819277,0.24096385542168675,f25
oviedo_C2406_1415,Oviedo,cum_clicks,133,0.7602409638554217,0.3132530120481928,f25
oviedo_C2406_1415,Oviedo,active_weeks,133,0.6179518072289156,0.24096385542168675,f25
oviedo_C2406_1415,Oviedo,weeks_since_active,133,0.523855421686747,0.21686746987951808,f25
oviedo_C2468_1415,Oviedo,cum_active_days,82,0.6519928613920285,0.3170731707317073,f25
oviedo_C2468_1415,Oviedo,cum_clicks,82,0.6778703152885187,0.3170731707317073,f25
oviedo_C2468_1415,Oviedo,active_weeks,82,0.6585365853658537,0.3170731707317073,f25
oviedo_C2468_1415,Oviedo,weeks_since_active,82,0.6284949434860202,0.3170731707317073,f25
oviedo_C2607_1415,Oviedo,cum_active_days,277,0.4896924523233951,0.19607843137254902,f25
oviedo_C2607_1415,Oviedo,cum_clicks,277,0.4769674993284985,0.18627450980392157,f25
oviedo_C2607_1415,Oviedo,active_weeks,277,0.5065135643298415,0.19607843137254902,f25
oviedo_C2607_1415,Oviedo,weeks_since_active,277,0.49946279881815736,0.18627450980392157,f25
oviedo_C3022_1415,Oviedo,cum_active_days,238,0.5399653979238754,0.25,f25
oviedo_C3022_1415,Oviedo,cum_clicks,238,0.5344290657439447,0.25,f25
oviedo_C3022_1415,Oviedo,active_weeks,238,0.5440311418685121,0.25,f25
oviedo_C3022_1415,Oviedo,weeks_since_active,238,0.5308823529411765,0.25,f25
oviedo_C3029_1415,Oviedo,cum_active_days,231,0.5310271646859083,0.15789473684210525,f25
oviedo_C3029_1415,Oviedo,cum_clicks,231,0.5275042444821731,0.21052631578947367,f25
oviedo_C3029_1415,Oviedo,active_weeks,231,0.5340407470288625,0.14473684210526316,f25
oviedo_C3029_1415,Oviedo,weeks_since_active,231,0.455899830220713,0.13157894736842105,f25
oviedo_C4189_1415,Oviedo,cum_active_days,128,0.4876225490196079,0.25,f25
oviedo_C4189_1415,Oviedo,cum_clicks,128,0.4803921568627451,0.25,f25
oviedo_C4189_1415,Oviedo,active_weeks,128,0.48921568627450984,0.25,f25
oviedo_C4189_1415,Oviedo,weeks_since_active,128,0.48921568627450984,0.25,f25
oviedo_C4213_1415,Oviedo,cum_active_days,140,0.6516007532956686,0.3220338983050847,f25
oviedo_C4213_1415,Oviedo,cum_clicks,140,0.6411383134546976,0.3220338983050847,f25
oviedo_C4213_1415,Oviedo,active_weeks,140,0.6226197949361791,0.3389830508474576,f25
oviedo_C4213_1415,Oviedo,weeks_since_active,140,0.577735928018414,0.2711864406779661,f25
oviedo_C836_1415,Oviedo,cum_active_days,87,0.5808668076109936,0.3181818181818182,f25
oviedo_C836_1415,Oviedo,cum_clicks,87,0.5665961945031712,0.20454545454545456,f25
oviedo_C836_1415,Oviedo,active_weeks,87,0.544661733615222,0.2727272727272727,f25
oviedo_C836_1415,Oviedo,weeks_since_active,87,0.5179704016913319,0.29545454545454547,f25
oulad_AAA_2013J,OULAD,cum_active_days,383,0.7425316889345667,0.44761904761904764,f33
oulad_AAA_2013J,OULAD,cum_clicks,383,0.6849263446385749,0.4095238095238095,f33
oulad_AAA_2013J,OULAD,active_weeks,383,0.7685337444330249,0.44761904761904764,f33
oulad_AAA_2013J,OULAD,weeks_since_active,383,0.7295820486467969,0.44761904761904764,f33
oulad_AAA_2014J,OULAD,cum_active_days,365,0.7292490118577075,0.3482142857142857,f33
oulad_AAA_2014J,OULAD,cum_clicks,365,0.7113918690005646,0.38392857142857145,f33
oulad_AAA_2014J,OULAD,active_weeks,365,0.7521880293619424,0.4107142857142857,f33
oulad_AAA_2014J,OULAD,weeks_since_active,365,0.7597049689440994,0.4642857142857143,f33
oulad_BBB_2013B,OULAD,cum_active_days,1767,0.8260381195000077,0.3620331950207469,f33
oulad_BBB_2013B,OULAD,cum_clicks,1767,0.8076785446691092,0.3578838174273859,f33
oulad_BBB_2013B,OULAD,active_weeks,1767,0.8482415526836603,0.3630705394190871,f33
oulad_BBB_2013B,OULAD,weeks_since_active,1767,0.8304109847408319,0.36410788381742737,f33
oulad_BBB_2013J,OULAD,cum_active_days,2237,0.82310350073666,0.37510729613733906,f33
