cohort_id,institution,n_students,rule_days_auc,rule_days_recall,rule_best_auc,rule_best_name,local_auc,local_recall,transferred_auc,transferred_recall,local_gain_over_rule,transferred_gain_over_rule,cutoff
oulad_FFF_2013B,OULAD,1614,0.8159520706275821,0.3713942307692308,0.8159520706275821,cum_active_days,0.8306302872319495,0.3774038461538461,0.650278547279926,0.3033216783216783,0.014678216604367411,-0.16567352334765617,f33
oulad_FFF_2013J,OULAD,2283,0.8396541518687637,0.37457912457912457,0.8560229386713405,active_weeks,0.8779076918346325,0.3846801346801347,0.6755661813932881,0.30754514845423936,0.03825353996586878,-0.16408797047547563,f33
oulad_FFF_2014B,OULAD,1500,0.8402086451081182,0.3380614657210402,0.8529118861199673,active_weeks,0.8598143087455989,0.351063829787234,0.6715487352870234,0.2926069202664947,0.01960566363748073,-0.1686599098210948,f33
oulad_FFF_2014J,OULAD,2365,0.8765849889814752,0.3766025641025641,0.8919596331749422,active_weeks,0.8971514674150081,0.3782051282051282,0.6978546075772184,0.313301282051282,0.020566478433532875,-0.1787303814042568,f33
oviedo_C1112_1415,Oviedo,199,0.7682641432641433,0.32407407407407407,0.7682641432641433,cum_active_days,0.7575295075295075,0.3333333333333333,0.6465674721488676,0.28488372093023256,-0.010734635734635734,-0.12169667111527571,f33
oviedo_C1127_1415,Oviedo,106,0.5585533869115958,0.28205128205128205,0.6282051282051282,weeks_since_active,0.5855338691159587,0.3333333333333333,0.5518383040076896,0.2665474060822898,0.026980482204362888,-0.006715082903906211,f33
oviedo_C1200_1415,Oviedo,107,0.6836845930232558,0.28125,0.6836845930232558,cum_active_days,0.6115552325581395,0.234375,0.5980851135749053,0.26308139534883723,-0.07212936046511631,-0.08559947944835045,f33
oviedo_C1303_1415,Oviedo,112,0.641156462585034,0.24285714285714285,0.6670068027210885,cum_clicks,0.4948979591836735,0.2142857142857142,0.5533974054738174,0.21495016611295675,-0.14625850340136048,-0.08775905711121657,f33
oviedo_C174_1415,Oviedo,96,0.9409586056644881,0.4222222222222222,0.9769063180827887,cum_clicks,0.9531590413943356,0.4222222222222222,0.8356893144854841,0.3829457364341085,0.012200435729847525,-0.10526929117900397,f33
oviedo_C190_1415,Oviedo,112,0.43571198971391834,0.16393442622950818,0.4496946319511411,active_weeks,0.5249116039858567,0.1967213114754098,0.4417483348657801,0.17651544033549366,0.08919961427193834,0.006036345151861744,f33
oviedo_C1978_1415,Oviedo,164,0.7278924097273397,0.43478260869565216,0.7278924097273397,cum_active_days,0.7129697862932941,0.4565217391304347,0.6211204606604857,0.3412537917087967,-0.014922623434045601,-0.10677194906685405,f33
oviedo_C2011_1415,Oviedo,120,0.7557283142389526,0.5,0.7557283142389526,cum_active_days,0.6900572831423896,0.3461538461538461,0.6428510257678987,0.38103756708407865,-0.06567103109656303,-0.11287728847105394,f33
oviedo_C2024_1415,Oviedo,327,0.5440909090909091,0.2692307692307692,0.5535314685314685,active_weeks,0.3842307692307692,0.1538461538461538,0.5166189624329159,0.21064400715563503,-0.15986013986013986,-0.02747194665799313,f33
oviedo_C2150_1415,Oviedo,106,0.7560975609756098,0.4146341463414634,0.8088180112570357,active_weeks,0.7575984990619136,0.4146341463414634,0.6142370958593307,0.3034600113442995,0.0015009380863038047,-0.14186046511627903,f33
oviedo_C2271_1415,Oviedo,596,0.6381274433604398,0.30364372469635625,0.6575583216361379,cum_clicks,0.6528021066552209,0.3319838056680162,0.5685264555353251,0.24018454006214102,0.014674663294781065,-0.0696009878251147,f33
oviedo_C2335_1415,Oviedo,428,0.5419415292353823,0.21724137931034482,0.549087956021989,active_weeks,0.5087831084457771,0.2172413793103448,0.5072266192485153,0.1959903769045709,-0.03315842078960518,-0.03471490998686699,f33
oviedo_C2406_1415,Oviedo,133,0.6536144578313253,0.26506024096385544,0.78,cum_clicks,0.7373493975903616,0.3012048192771084,0.5902913981507425,0.24600728495376853,0.08373493975903623,-0.06332305968058283,f33
oviedo_C2468_1415,Oviedo,82,0.6567519333729923,0.34146341463414637,0.6683521713265913,cum_clicks,0.6838191552647234,0.3658536585365853,0.5816858735802333,0.2580828133862734,0.027067221891731053,-0.07506605979275904,f33
